Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,No,Travel_Rarely,1342,Sales,2,5,Technical Degree,2,Male,35,4,3,Manager,4,Single,12834,10866,4,Yes,21,3,3,1,16,6,4,6,12,12,0
21,No,Non-Travel,912,Research & Development,16,4,Life Sciences,3,Female,81,2,3,Healthcare Representative,1,Single,11076,11497,7,No,20,4,4,3,3,1,3,32,1,4,1
31,Yes,Non-Travel,1027,Human Resources,10,4,Technical Degree,3,Male,84,2,5,Human Resources,2,Divorced,14938,17956,7,No,15,3,2,0,27,4,1,23,0,10,10
48,No,Travel_Frequently,830,Sales,23,5,Life Sciences,2,Male,96,2,2,Research Scientist,4,Single,11529,3071,5,No,12,3,1,3,22,0,2,34,7,7,16
47,Yes,Non-Travel,838,Research & Development,21,2,Marketing,3,Male,92,1,4,Healthcare Representative,2,Single,1259,8590,6,No,12,3,4,3,8,1,1,36,11,11,8
37,No,Travel_Rarely,154,Sales,22,1,Other,1,Male,31,2,3,Sales Representative,2,Married,2494,10575,7,No,23,4,4,3,9,5,1,10,3,4,4
33,No,Non-Travel,1074,Sales,9,3,Marketing,2,Female,43,1,4,Human Resources,4,Married,5957,5146,8,Yes,24,3,2,1,23,1,1,7,0,6,15
23,No,Travel_Rarely,386,Research & Development,7,5,Life Sciences,4,Female,40,3,4,Research Director,1,Single,4115,26048,1,No,25,3,1,2,36,6,3,37,11,1,13
28,No,Travel_Rarely,768,Research & Development,1,1,Technical Degree,2,Male,41,2,5,Sales Executive,4,Married,14628,7213,0,No,11,3,2,1,25,6,4,35,12,14,7
38,No,Travel_Rarely,487,Sales,1,5,Marketing,4,Male,51,4,1,Manager,4,Single,18630,26794,3,No,24,3,3,0,22,5,1,1,16,0,7
18,No,Travel_Rarely,1262,Sales,10,4,Technical Degree,4,Male,66,3,4,Research Scientist,1,Single,5891,3773,5,Yes,12,3,4,3,8,0,1,8,1,14,9
30,No,Travel_Rarely,570,Research & Development,22,3,Other,2,Male,69,1,2,Sales Executive,1,Divorced,15403,4769,3,No,24,4,4,1,24,3,1,5,9,12,1
46,No,Non-Travel,244,Research & Development,27,4,Other,1,Female,68,3,1,Research Scientist,1,Married,19372,2818,6,No,22,3,1,0,10,4,2,29,15,1,9
20,No,Non-Travel,1278,Research & Development,14,2,Technical Degree,1,Female,51,3,4,Human Resources,1,Married,17796,24156,3,No,17,3,3,0,39,2,3,10,8,4,16
44,No,Travel_Rarely,647,Research & Development,15,3,Other,3,Male,99,2,3,Human Resources,2,Married,7376,25370,6,Yes,20,3,4,0,18,3,1,21,2,4,2
18,No,Travel_Rarely,498,Research & Development,5,2,Other,1,Female,80,1,1,Laboratory Technician,2,Divorced,1208,10192,6,No,18,4,2,1,1,3,4,26,11,14,14
53,Yes,Travel_Frequently,971,Research & Development,23,5,Other,4,Female,41,2,1,Sales Representative,2,Married,15541,21687,0,No,21,3,3,0,1,4,1,22,3,10,16
19,No,Non-Travel,155,Sales,4,5,Marketing,2,Male,31,3,1,Research Director,1,Single,7372,24029,0,No,19,3,1,2,1,1,4,35,14,4,3
49,No,Non-Travel,342,Sales,11,2,Medical,1,Male,32,1,4,Sales Executive,3,Married,9810,14062,4,No,15,3,4,1,17,5,4,4,16,14,13
58,Yes,Non-Travel,1325,Research & Development,13,4,Medical,4,Male,98,4,3,Research Scientist,1,Married,9291,24792,1,Yes,14,3,4,0,23,4,4,29,13,4,0
37,No,Travel_Frequently,632,Research & Development,11,5,Marketing,3,Male,47,4,3,Manager,2,Single,4320,21146,1,Yes,24,3,3,2,1,4,3,32,9,7,10
18,No,Travel_Rarely,1355,Research & Development,14,5,Technical Degree,4,Female,30,3,3,Healthcare Representative,4,Married,1097,3453,6,Yes,22,3,1,0,4,5,1,25,0,0,2
42,No,Non-Travel,792,Sales,3,5,Other,1,Female,46,4,2,Research Scientist,1,Single,12777,25286,2,Yes,16,3,3,2,10,2,2,18,14,7,16
21,No,Non-Travel,1240,Research & Development,7,4,Marketing,1,Female,61,2,4,Manager,1,Single,14914,25040,9,No,24,3,1,0,26,0,4,26,0,4,12
44,No,Non-Travel,730,Research & Development,11,4,Other,1,Male,77,2,3,Sales Executive,3,Single,5147,16307,3,No,21,3,4,1,27,4,1,17,5,9,15
44,No,Non-Travel,301,Sales,8,4,Other,4,Female,78,4,3,Manufacturing Director,2,Divorced,17883,13441,9,No,21,4,4,0,35,0,4,24,5,9,10
57,No,Travel_Rarely,256,Sales,11,5,Technical Degree,1,Female,42,3,1,Research Director,3,Single,15451,10310,0,No,11,3,1,3,21,5,3,11,8,11,2
28,No,Travel_Rarely,1433,Research & Development,27,2,Life Sciences,1,Female,35,4,4,Laboratory Technician,4,Divorced,7836,16183,0,No,25,3,3,0,27,6,2,35,11,9,16
23,Yes,Travel_Frequently,1255,Research & Development,5,4,Medical,1,Male,50,3,1,Healthcare Representative,4,Divorced,4755,12137,8,No,18,3,3,3,3,4,3,0,4,3,7
31,No,Travel_Rarely,1240,Sales,18,2,Life Sciences,1,Female,55,4,2,Healthcare Representative,2,Single,17451,8443,1,Yes,18,3,1,2,14,1,4,23,4,3,16
52,No,Travel_Rarely,451,Sales,8,3,Technical Degree,2,Female,64,2,3,Laboratory Technician,2,Divorced,14106,5263,9,Yes,12,3,3,3,21,2,1,8,0,8,15
38,Yes,Travel_Rarely,377,Human Resources,4,2,Technical Degree,4,Male,80,4,5,Manager,1,Divorced,16615,17925,5,No,13,3,2,3,9,6,2,37,6,13,4
31,No,Travel_Rarely,440,Sales,13,5,Technical Degree,2,Female,33,4,1,Sales Representative,3,Single,10874,10991,2,Yes,15,3,2,0,32,0,3,16,8,14,3
32,No,Travel_Rarely,352,Research & Development,21,5,Technical Degree,4,Female,75,1,3,Sales Executive,2,Married,16690,19671,7,Yes,13,4,4,2,20,3,2,13,5,1,8
18,No,Travel_Rarely,733,Research & Development,2,5,Medical,1,Female,86,3,3,Research Scientist,2,Married,12642,18593,0,No,11,3,4,2,13,5,1,23,1,6,14
27,Yes,Travel_Rarely,238,Research & Development,9,2,Marketing,2,Male,40,4,4,Healthcare Representative,3,Divorced,19115,10647,0,No,23,3,2,2,16,0,3,22,1,14,14
26,No,Travel_Rarely,1225,Research & Development,13,3,Marketing,1,Male,62,2,4,Sales Executive,1,Married,9232,19332,4,No,12,3,4,2,38,1,4,8,9,5,15
52,No,Travel_Rarely,529,Research & Development,18,1,Medical,4,Male,91,4,1,Manufacturing Director,2,Married,12567,17860,3,No,12,3,1,3,12,4,4,27,8,3,12
41,Yes,Non-Travel,1153,Research & Development,23,2,Marketing,1,Male,73,1,1,Laboratory Technician,2,Single,16860,26476,9,Yes,16,3,2,3,1,6,1,8,12,10,5
33,Yes,Travel_Rarely,1161,Sales,16,5,Medical,4,Male,67,3,4,Laboratory Technician,2,Married,2952,25422,4,Yes,12,3,1,1,22,3,4,8,10,13,0
23,No,Travel_Rarely,454,Sales,20,5,Marketing,3,Male,34,4,1,Manufacturing Director,4,Married,2183,23773,2,Yes,25,3,1,1,9,4,2,5,10,9,4
30,No,Non-Travel,1114,Sales,15,5,Medical,2,Female,30,1,2,Sales Executive,1,Single,13760,20913,7,Yes,14,3,4,3,24,3,2,2,13,11,10
29,No,Non-Travel,1239,Research & Development,6,5,Marketing,2,Male,42,2,2,Healthcare Representative,3,Married,3157,19898,1,No,13,3,4,1,34,6,3,7,7,13,0
58,Yes,Travel_Frequently,697,Research & Development,6,2,Technical Degree,1,Male,37,3,1,Sales Executive,4,Married,9917,10415,5,No,20,3,2,0,12,2,2,2,6,14,11
57,No,Travel_Rarely,1411,Research & Development,7,4,Other,2,Male,35,1,5,Research Director,2,Divorced,12793,4749,5,No,25,3,2,3,24,1,1,12,3,0,4
31,Yes,Travel_Rarely,1479,Research & Development,18,3,Marketing,4,Male,79,4,2,Manager,2,Married,4438,15092,0,Yes,19,3,1,2,25,3,4,32,7,8,0
59,No,Non-Travel,749,Research & Development,8,3,Life Sciences,1,Male,45,4,3,Sales Executive,4,Married,3298,14075,2,No,17,3,4,3,21,6,2,34,10,14,2
35,Yes,Travel_Rarely,1488,Research & Development,22,2,Other,2,Male,85,3,3,Manager,3,Single,16235,2525,1,No,22,3,2,3,15,2,2,8,15,5,3
37,No,Travel_Frequently,1026,Research & Development,9,2,Life Sciences,3,Male,80,4,1,Manager,3,Married,18212,15078,2,No,12,3,1,0,7,3,1,10,11,2,8
43,No,Travel_Frequently,660,Research & Development,26,3,Technical Degree,1,Female,73,3,1,Manager,3,Divorced,13481,20887,5,Yes,15,3,3,0,25,4,1,0,2,14,9
34,Yes,Travel_Rarely,929,Research & Development,7,5,Marketing,4,Female,32,3,3,Manager,1,Married,19560,22238,4,No,11,3,2,3,9,3,1,39,6,9,11
47,No,Travel_Frequently,492,Sales,19,4,Other,2,Female,60,2,5,Laboratory Technician,3,Single,19697,16711,9,No,13,3,3,2,36,2,2,25,4,14,8
38,No,Travel_Rarely,1479,Research & Development,27,1,Technical Degree,1,Female,83,2,3,Manager,4,Divorced,5178,6042,6,No,15,4,4,0,6,1,1,9,8,6,1
18,No,Travel_Rarely,889,Research & Development,27,1,Medical,3,Male,52,3,5,Sales Executive,4,Single,3474,15600,7,Yes,24,3,4,1,21,3,4,8,4,4,13
19,No,Travel_Rarely,218,Research & Development,23,1,Life Sciences,3,Male,76,1,1,Healthcare Representative,4,Married,16679,17801,6,Yes,21,3,3,2,32,6,1,18,2,7,10
23,No,Travel_Rarely,1274,Research & Development,16,1,Medical,1,Female,45,4,4,Human Resources,4,Divorced,16903,17307,4,No,25,3,1,1,19,5,4,4,13,3,3
38,Yes,Non-Travel,1309,Research & Development,19,1,Life Sciences,4,Male,93,4,3,Sales Executive,2,Single,3496,4588,3,No,13,3,3,2,8,5,1,2,13,12,8
57,No,Non-Travel,295,Research & Development,9,1,Life Sciences,4,Male,51,2,2,Healthcare Representative,3,Married,7464,4513,7,No,15,3,3,1,18,2,2,21,7,0,12
24,No,Non-Travel,146,Research & Development,15,1,Marketing,3,Male,49,1,2,Research Scientist,2,Married,13536,2831,2,Yes,22,4,4,1,6,6,4,29,4,6,7
33,No,Non-Travel,1283,Research & Development,7,1,Medical,4,Male,82,3,3,Human Resources,3,Divorced,11811,25564,3,No,15,3,1,1,38,6,3,18,10,4,4
19,No,Travel_Rarely,616,Human Resources,19,3,Marketing,4,Male,42,4,2,Human Resources,2,Married,3025,10775,1,No,24,3,3,0,25,6,4,33,3,14,13
22,Yes,Non-Travel,587,Research & Development,27,4,Medical,3,Male,92,3,1,Sales Executive,1,Married,1667,3189,0,No,21,3,3,0,35,4,2,9,13,10,1
30,No,Travel_Rarely,837,Research & Development,24,3,Other,1,Male,74,3,2,Manager,3,Single,7935,20973,0,No,25,3,3,1,38,0,3,37,1,0,14
29,Yes,Travel_Frequently,951,Sales,27,2,Life Sciences,2,Female,91,1,4,Manager,1,Divorced,12890,2349,1,Yes,17,3,1,0,28,4,2,33,7,12,16
59,No,Travel_Rarely,209,Research & Development,27,2,Technical Degree,3,Female,65,3,4,Manager,1,Single,2827,17613,2,No,14,4,3,3,5,6,4,6,3,2,8
20,No,Non-Travel,519,Research & Development,6,3,Life Sciences,3,Male,80,3,1,Laboratory Technician,3,Married,19994,25087,6,No,24,3,3,1,3,0,2,30,4,3,16
49,No,Travel_Rarely,772,Sales,16,5,Life Sciences,1,Female,39,1,3,Sales Representative,4,Divorced,3551,9873,9,No,19,3,3,2,7,2,3,8,3,9,6
35,No,Non-Travel,1000,Sales,4,4,Medical,3,Male,31,2,3,Sales Representative,2,Married,2209,5511,2,No,23,3,2,2,18,6,4,6,14,8,14
27,No,Travel_Rarely,1203,Research & Development,1,2,Technical Degree,4,Male,45,4,2,Sales Executive,2,Single,15267,13203,1,No,15,3,3,3,16,4,4,14,2,8,9
24,No,Travel_Rarely,514,Sales,5,3,Life Sciences,3,Female,31,3,2,Sales Executive,2,Married,6951,17249,7,Yes,21,3,3,3,38,6,2,21,7,2,8
30,No,Travel_Rarely,565,Sales,6,5,Life Sciences,1,Female,81,3,3,Healthcare Representative,3,Divorced,12477,26415,5,No,19,3,1,1,31,3,3,16,17,5,2
53,No,Travel_Rarely,731,Research & Development,10,2,Marketing,4,Male,73,4,5,Research Scientist,1,Divorced,5512,4378,0,No,23,3,4,3,19,2,3,6,15,8,6
51,No,Non-Travel,1485,Human Resources,20,2,Marketing,3,Male,40,2,1,Research Scientist,3,Married,12810,26738,4,No,15,3,4,2,30,4,2,29,12,11,13
48,No,Non-Travel,638,Research & Development,4,3,Other,1,Male,58,4,1,Manager,3,Divorced,9908,7588,1,No,23,3,2,3,35,3,2,15,9,7,2
42,No,Non-Travel,1362,Research & Development,10,5,Technical Degree,4,Male,85,4,2,Human Resources,1,Single,4358,7941,4,No,24,3,3,3,28,6,3,37,0,10,9
